large,middle,small,mini,micro,account_id,account_item,indicator,created_at,updated_at
貸借対照表,資産の部,流動資産,,,1110001,現金及び預金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110002,受取手形、売掛金及び契約資産,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110003,受取手形及び売掛金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110004,売掛金及び契約資産,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110005,受取手形・完成工事未収入金等,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110006,受取手形・完成工事未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110007,受取手形,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110008,売掛金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110009,契約資産,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110010,完成工事未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110011,貸倒引当金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110012,関係会社売掛金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110013,割賦売掛金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110014,開発事業未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110015,不動産事業未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110016,完成業務未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110017,加盟店貸勘定,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110018,受取手形及び営業未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110019,営業未収入金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110020,電子記録債権,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110021,営業貸付金,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110022,有価証券,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110023,金銭の信託,1,2023/12/28 23:16,2023/12/28 23:16
貸借対照表,資産の部,流動資産,,,1110024,営業投資有価証券,1,2023/12/28 23:16,2023/12/28 23:16
